image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,15,15,44,,,,,,,,,,,,,65.93689317799999,None,65.93689317799999,None,65.93689317799999,None,66.97368592800001,None,66.97368592800001,None,66.97368592800001,None,0.2,0.35,67.12700022199999,67.27163562700002,67.12700022199999,67.27163562700002,67.12700022199999,67.27163562700002,space,0.21270397900002536,67.12700022199999,None,67.34209038300003,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,16,16,93,,,,,,,,,,,,,67.84162250099996,None,67.84162250099996,None,67.84162250099996,None,68.87746215499999,None,68.87746215499999,None,68.87746215499999,None,0.2,0.35,69.03067888099997,69.17765963199997,69.03067888099997,69.17765963199997,69.03067888099997,69.17765963199997,space,1.9032805880000296,69.03067888099997,None,70.93640302099993,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,17,17,96,,,,,,,,,,,,,71.43658391899999,None,71.43658391899999,None,71.43658391899999,None,72.472497933,None,72.472497933,None,72.472497933,None,0.0,0.15,72.64331541599995,72.78662735099999,72.64331541599995,72.78662735099999,72.64331541599995,72.78662735099999,space,2.20636862799995,72.64331541599995,None,74.85207774499997,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,18,18,22,,,,,,,,,,,,,75.35294551100003,None,75.35294551100003,None,75.35294551100003,None,76.39015974099993,None,76.39015974099993,None,76.39015974099993,None,0.05,0.2,76.54092376699998,None,76.54092376699998,None,76.54092376699998,None,space,0.08181491600009849,76.54092376699998,None,76.62515205499994,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,19,19,63,,,,,,,,,,,,,77.125380414,None,77.125380414,None,77.125380414,None,78.16244266599995,None,78.16244266599995,None,78.16244266599995,None,0.1,0.25,78.321073856,78.47763015700002,78.321073856,78.47763015700002,78.321073856,78.47763015700002,space,0.19296295200001623,78.321073856,None,78.51650062599992,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.2,0.35,0,20,20,78,,,,,,,,,,,,,79.01755975899994,None,79.01755975899994,None,79.01755975899994,None,80.05474464500003,None,80.05474464500003,None,80.05474464500003,None,0.05,0.2,80.21236290799993,80.35107079099998,80.21236290799993,80.35107079099998,80.21236290799993,80.35107079099998,space,2.4056662829999595,80.21236290799993,None,82.62044418200003,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,21,21,36,,,,,,,,,,,,,83.12033107000002,None,83.12033107000002,None,83.12033107000002,None,84.15625471700002,None,84.15625471700002,None,84.15625471700002,None,0.0,0.15,84.31372050599998,84.45697009399998,84.31372050599998,84.45697009399998,84.31372050599998,84.45697009399998,space,0.2109485709999035,84.31372050599998,None,84.527016559,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,22,22,41,,,,,,,,,,,,,85.02717574799999,None,85.02717574799999,None,85.02717574799999,None,86.06355969999993,None,86.06355969999993,None,86.06355969999993,None,0.3,0.44999999999999996,86.215632776,86.36291432799999,86.215632776,86.36291432799999,86.215632776,86.36291432799999,space,0.1699295629999824,86.215632776,None,86.38793128700001,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,23,23,74,,,,,,,,,,,,,86.88947252899993,None,86.88947252899993,None,86.88947252899993,None,87.92424482399997,None,87.92424482399997,None,87.92424482399997,None,0.1,0.25,88.07921344700003,88.23461729999997,88.07921344700003,88.23461729999997,88.07921344700003,88.23461729999997,space,0.1821225889999596,88.07921344700003,None,88.26360743700002,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.5,0.65,0,24,24,117,,,,,,,,,,,,,88.76335615799997,None,88.76335615799997,None,88.76335615799997,None,89.80101453700001,None,89.80101453700001,None,89.80101453700001,None,0.2,0.35,89.95567381900003,None,89.95567381900003,None,89.95567381900003,None,space,0.09779519100004563,89.95567381900003,None,90.05583218599998,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,25,25,0,,,,,,,,,,,,,90.55705558099999,None,90.55705558099999,None,90.55705558099999,None,91.59383603200001,None,91.59383603200001,None,91.59383603200001,None,0.2,0.35,91.77124902399999,91.909190394,91.77124902399999,91.909190394,91.77124902399999,91.909190394,space,0.13971933699997408,91.77124902399999,None,91.91270000199995,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,26,26,70,,,,,,,,,,,,,92.41276198499997,None,92.41276198499997,None,92.41276198499997,None,93.45067325299999,None,93.45067325299999,None,93.45067325299999,None,0.05,0.2,93.60917313099992,93.74938588600003,93.60917313099992,93.74938588600003,93.60917313099992,93.74938588600003,space,2.1726213839999673,93.60917313099992,None,95.78420315400001,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.1,0.25,0,27,27,57,,,,,,,,,,,,,96.28354767799999,None,96.28354767799999,None,96.28354767799999,None,97.32125832399993,None,97.32125832399993,None,97.32125832399993,None,0.05,0.2,97.47365207199994,97.62280340699999,97.47365207199994,97.62280340699999,97.47365207199994,97.62280340699999,space,2.3189698380000436,97.47365207199994,None,99.79500095599997,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
