image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,18,18,31,,,,,,,,,,,,,51.938408299931325,None,51.938408299931325,None,51.938408299931325,None,52.93847349996213,None,52.93847349996213,None,52.93847349996213,None,0.05,0.2,53.155166600015946,53.25518219999503,53.155166600015946,53.25518219999503,53.155166600015946,53.25518219999503,space,1.101185700041242,53.155166600015946,None,54.27192929992452,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,19,19,115,,,,,,,,,,,,,54.77195309998933,None,54.77195309998933,None,54.77195309998933,None,55.77204049995635,None,55.77204049995635,None,55.77204049995635,None,0.0,0.15,56.0053959999932,None,56.0053959999932,None,56.0053959999932,None,space,0.016997499973513186,56.0053959999932,None,56.038710699998774,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,20,20,111,,,,,,,,,,,,,56.5387748000212,None,56.5387748000212,None,56.5387748000212,None,57.538881800021045,None,57.538881800021045,None,57.538881800021045,None,0.3,0.44999999999999996,57.75557079992723,None,57.75557079992723,None,57.75557079992723,None,space,0.06709739996585995,57.75557079992723,None,57.8389659000095,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,21,21,84,,,,,,,,,,,,,58.33889399992768,None,58.33889399992768,None,58.33889399992768,None,59.338957499945536,None,59.338957499945536,None,59.338957499945536,None,0.0,0.15,59.57233300001826,None,59.57233300001826,None,59.57233300001826,None,space,0.03382030001375824,59.57233300001826,None,59.622342100017704,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,22,22,21,,,,,,,,,,,,,60.12236889998894,None,60.12236889998894,None,60.12236889998894,None,61.122445399989374,None,61.122445399989374,None,61.122445399989374,None,0.0,0.15,61.30578830000013,61.439148299978115,61.30578830000013,61.439148299978115,61.30578830000013,61.439148299978115,space,0.1336581000359729,61.30578830000013,None,61.455804299912415,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,23,23,100,,,,,,,,,,,,,61.95584750000853,None,61.95584750000853,None,61.95584750000853,None,62.95595159998629,None,62.95595159998629,None,62.95595159998629,None,0.5,0.65,63.139265200006776,63.239257699926384,63.139265200006776,63.239257699926384,63.139265200006776,63.239257699926384,space,0.15030410001054406,63.139265200006776,None,63.30593669996597,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.1,0.25,0,24,24,57,,,,,,,,,,,,,63.8059779999312,None,63.8059779999312,None,63.8059779999312,None,64.80599109991454,None,64.80599109991454,None,64.80599109991454,None,0.3,0.44999999999999996,64.97275840002112,None,64.97275840002112,None,64.97275840002112,None,space,0.08359389996621758,64.97275840002112,None,65.0727475999156,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,25,25,18,,,,,,,,,,,,,65.57273919996805,None,65.57273919996805,None,65.57273919996805,None,66.57286780001596,None,66.57286780001596,None,66.57286780001596,None,0.2,0.35,66.73953519994393,None,66.73953519994393,None,66.73953519994393,None,space,0.1336794999660924,66.73953519994393,None,66.88952770002652,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.2,0.35,0,26,26,77,,,,,,,,,,,,,67.38959169993177,None,67.38959169993177,None,67.38959169993177,None,68.38970139995217,None,68.38970139995217,None,68.38970139995217,None,0.05,0.2,68.60636759991758,68.68973059998825,68.60636759991758,68.68973059998825,68.60636759991758,68.68973059998825,space,0.8004161000717431,68.60636759991758,None,69.42307999997865,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,27,27,54,,,,,,,,,,,,,69.92312559997663,None,69.92312559997663,None,69.92312559997663,None,70.92319789994508,None,70.92319789994508,None,70.92319789994508,None,0.5,0.65,71.12312879995443,None,71.12312879995443,None,71.12312879995443,None,space,0.10041619988624007,71.12312879995443,None,71.23987379996106,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
